fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,29,TAMIL NADU,2924,VIRUDHUNAGAR,883393,343.432456843626,6,215,0,503,148,2391,55380,17401,75603,12,118,79.45075,269.6436446,9059,9337,215443,264266,0,247077,298743,2894,190.1928946,47133,16,11.17,19.31,100,NA
2025-2026,May,29,TAMIL NADU,2930,KRISHNAGIRI,796257,306.071702295703,7,104,7.45916419999999,665,33,8533,75968,9239,38637,364,2773,142.23463,382.210345,9873,10083,254359,285132,0,295353,332963,9198,232.5165508,69169,69,8.09,9.18,100,NA
2025-2026,May,29,TAMIL NADU,2931,ARIYALUR,401779,1020.99112740055,7,27,0,1819,28,2930,23328,5736,56469,576,3022,41.94487,280.1216802,2996,3395,179790,254629,0,192042,268243,4749,238.1768102,18142,51,8.82,6.15,100,NA
2025-2026,May,29,TAMIL NADU,2938,MAYILADUTHURAI,265639,337.824727217208,6,50,0,404,0,5360,58948,23198,106401,19,275,44.8216,243.9625202,9280,10696,153080,233218,0,161684,242905,5764,199.1409202,46443,46,26.07,23.6,100,NA
2025-2026,May,29,TAMIL NADU,2907,SALEM,585616,535.954885039758,6,73,58.4620205,1629,9,12032,48669,8758,80945,2732,30098,99.7897,419.0956035,7298,7571,341052,422428,0,437378,530394,13661,260.843883,43094,57,8.81,10.86,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,393.113807709859,7,163,0,1357,1,5593,50403,10822,45885,559,2952,64.38528,262.5264325,6499,6620,140035,163034,0,191906,224495,6950,198.1411525,42642,62,40.56,41.01,100,NA
2025-2026,May,29,TAMIL NADU,2913,THANJAVUR,562860,384.748932957812,7,55,0,2085,87,7692,34441,7275,116651,86,118,127.23956,259.75094,4905,5220,271608,365655,0,297449,394270,9777,132.51138,29046,37,22.75,6.23,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,324.814844974081,7,108,0,958,0,4633,111691,34235,62083,67,203,59.31884,422.1077885,15950,16265,133681,158262,0,178820,230060,5591,362.7889485,96169,50,38.04,62.48,100,NA
2025-2026,May,29,TAMIL NADU,2934,Ranipet,622263,437.700454284895,6,86,0,1211,1,4318,55824,15007,54488,1583,2258,60.70446,305.0463616,8373,8683,157673,218442,0,182688,247768,5529,244.3419016,49622,50,10.06,11.94,100,NA
2025-2026,May,29,TAMIL NADU,2938,MAYILADUTHURAI,265639,337.28101802513,6,54,0,409,0,5359,60804,23565,106401,19,275,44.8216,249.9019502,9538,10985,153078,233216,0,161684,242905,5768,205.0803502,47696,46,26.03,23.64,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,333.218616087012,7,316,0,1291,4,12143,180481,58120,252098,2024,3432,145.95942,747.3557105,25342,28003,418468,675114,0,469208,736800,13434,601.3962905,142429,42,20.58,19.01,100,NA
2025-2026,May,29,TAMIL NADU,2904,VILLUPURAM,1166138,417.163163755489,7,113,3.9974,1488,0,9431,72651,24214,176282,1706,6856,167.64232,474.7129301,9284,10285,427868,597754,0,458143,640156,10919,303.0732101,58412,43,14.86,4.65,100,NA
2025-2026,May,29,TAMIL NADU,2902,TIRUVALLUR,972020,223.326949347501,5,396,0,865,5,11408,193870,62832,117958,8980,8597,115.37556,548.3395167,38037,38548,264642,310663,0,309432,375906,12273,432.9639567,176020,41,24.51,24.68,100,NA
2025-2026,May,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,480.844859549801,6,78,0,2503,52,5134,36917,7389,82824,354,5095,79.10731,256.6208068,5859,6049,301959,373809,0,321443,399709,7637,177.5134968,31566,48,12.88,13.62,100,NA
2025-2026,May,29,TAMIL NADU,2923,RAMANATHAPURAM,915564,305.614365963105,6,889,0,1006,83,9172,78221,16269,62574,13,23,96.29518,335.3497932,11688,12190,197594,243621,0,222893,271281,10178,239.0546132,66203,58,15.72,20.59,100,NA
2025-2026,May,29,TAMIL NADU,2937,KALLAKURICHI,511379,501.340633952281,7,98,9.79389,1890,44,8507,101301,27609,162298,1457,20442,84.61395,602.2709156,14258,16707,295521,512735,0,315742,537467,10397,507.8630756,75012,30,35.17,25.14,100,NA
2025-2026,May,29,TAMIL NADU,2907,SALEM,585616,458.686327969568,6,101,58.4620205,1759,6,11941,62829,11542,80949,3335,30100,100.48719,447.1372435,9126,9424,341064,422444,0,437378,530395,13700,288.188033,55731,57,9.63,12.99,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,654.917061041587,6,176,0,2436,11,13220,73196,16861,82675,92,358,68.88469,548.257782,11557,11986,281086,340341,0,313947,375551,15656,479.373092,62883,78,41.06,37.57,100,NA
2025-2026,May,29,TAMIL NADU,2923,RAMANATHAPURAM,915564,310.547492549616,6,942,0,1088,68,9263,94626,19246,62577,19,23,98.19498,392.0536503,13654,14206,197629,243663,0,223039,271446,10351,293.8586703,80119,59,15.88,20.83,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,655.417956033676,6,18,0,1001,88,9110,19242,5752,45558,0,19,138.55681,264.6723331,2967,3032,185971,220770,0,201983,238305,10111,126.1155231,17720,41,18.76,19.92,100,NA
2025-2026,May,29,TAMIL NADU,2930,KRISHNAGIRI,796257,298.650242906993,7,108,7.45916419999999,740,23,8503,81101,9647,38641,389,2775,142.23463,391.9021277,10283,10503,254376,285156,0,295386,333004,9243,242.2083335,73804,69,8.87,10.13,100,NA
2025-2026,May,29,TAMIL NADU,2936,TENKASI,447217,391.169387299202,9,64,0,483,0,4515,49241,10378,62120,0,71,57.27983,249.895548,4947,5325,138425,188980,0,164312,218666,4998,192.615718,39530,54,13.31,12.53,100,NA
2025-2026,May,29,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,422.825028895115,7,382,0,2771,38,9407,130991,34874,149628,4280,27606,207.45292,761.3156536,16960,18149,512046,655527,0,540441,686156,12178,553.8627336,107199,41,13.6,9.21,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,375.63167199266,8,173,0,1499,1,5581,63212,13409,45893,670,2952,64.38528,301.8295725,7519,7673,140091,163119,0,191986,224611,7080,237.4442925,53393,63,33.27,32.87,100,NA
2025-2026,May,29,TAMIL NADU,2914,NAGAPATTINAM,231137,544.199902295389,8,19,0,2469,4,2812,29886,12347,82644,60,249,48.20696,210.8465428,3680,4311,106475,164382,0,119470,179845,5281,162.6395828,23074,66,11.05,2.53,100,NA
2025-2026,May,29,TAMIL NADU,2921,THENI,249225,585.927513637748,7,65,0,606,2,2442,36113,7797,24761,352,169,41.00493,252.600933,4534,4681,83493,101554,0,114355,135522,3048,211.596003,30626,36,44.28,49.4,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,590.024171367715,6,210,0,2615,11,13137,94837,21480,82681,117,358,68.88469,628.4459134,14023,14565,281110,340380,0,314020,375648,15752,559.5612234,81437,78,38.1,36.39,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,452.456654451134,8,40,0,278,1,5427,42023,10362,33776,58,138,57.4524,247.5882599,4990,5112,96268,113369,0,120075,139401,5705,190.1358599,37393,38,5.5,9.41,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,305.624688622553,8,37,0,240,6,2042,29787,2290,4103,82,225,40.983,132.019426,3313,3447,38202,47352,0,77131,94905,2282,91.036426,24146,56,36.56,36.83,100,NA
2025-2026,May,29,TAMIL NADU,2907,SALEM,585616,428.175565030325,7,129,58.4620205,1808,4,11901,77164,13960,80950,4286,30101,100.48719,489.3466035,10897,11237,341078,422463,0,437408,530437,13709,330.397393,68400,57,10.16,13.5,100,NA
2025-2026,May,29,TAMIL NADU,2914,NAGAPATTINAM,231137,586.900022544149,7,15,0,2268,9,2932,23953,9827,82638,48,249,48.20696,188.7871224,3098,3628,106457,164355,0,119419,179755,5200,140.5801624,18558,66,11.63,2.27,100,NA
2025-2026,May,29,TAMIL NADU,2915,TIRUVARUR,306441,628.151718028222,9,39,2.3745722,3974,27,4849,31606,10890,144947,0,39,91.8463,292.7545042,3483,4204,178872,270973,0,197066,292742,8823,198.533632,22444,41,22.31,3.51,100,NA
2025-2026,May,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,380.482876422764,6,268,0,2630,6,5172,98400,20078,82834,1425,5095,79.10731,453.5024604,15902,16329,301980,373839,0,321479,399754,7802,374.3951504,84927,47,21.75,24.56,100,NA
2025-2026,May,29,TAMIL NADU,2917,KARUR,455707,571.495899735725,6,189,0,295,2,5592,49948,10927,36326,6,25,43.13854,328.589312,7487,7694,123785,154534,0,142668,177314,5887,285.450772,43707,71,73.95,73.75,100,NA
2025-2026,May,29,TAMIL NADU,2919,PUDUKKOTTAI,534209,306.519893222951,5,207,0,1358,52,7808,160896,26936,82111,6,3,122.04216,615.2204074,27863,28816,293430,424139,0,332472,474708,9166,493.1782474,145033,37,12.17,28.14,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,612.361868851667,6,191,0,2460,11,13195,82746,19446,82679,102,358,68.88469,575.589642,12498,12966,281091,340354,0,313982,375600,15655,506.704952,70940,78,38.18,35.79,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,458.405468054632,8,35,0,246,1,5272,39098,9696,33774,58,138,57.4524,236.6797699,4713,4810,96226,113322,0,120061,139385,5518,179.2273699,34923,37,5.38,9.2,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,303.49079138482,9,27,0,234,6,2033,24097,1841,4101,70,225,40.983,114.115176,2596,2717,38177,47303,0,77070,94789,2267,73.132176,19468,56,33.63,33.93,100,NA
2025-2026,May,29,TAMIL NADU,2931,ARIYALUR,401779,909.21225706682,8,28,0,1851,22,2906,27806,6424,56471,717,3022,44.05282,296.8683802,3381,3866,179792,254635,0,192043,268248,4757,252.8155602,21529,51,9.36,5.85,100,NA
2025-2026,May,29,TAMIL NADU,2902,TIRUVALLUR,972020,210.585934621513,6,533,0,1455,2,10948,323195,101721,117972,15627,8608,115.37556,795.978771399999,51650,52382,264704,310739,0,309529,376018,12403,680.603211399999,293597,41,28.26,28.3,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,317.506499900963,7,516,0,1616,2,12036,277675,91165,252115,2851,3440,145.95942,1027.5955936,36622,40329,418500,675182,0,469241,736863,13652,881.6361736,220588,42,23.66,23.78,100,NA
2025-2026,May,29,TAMIL NADU,2917,KARUR,455707,591.891929219494,6,193,0,299,2,5588,51031,11444,36326,6,25,43.13854,345.1869104,7614,7821,123785,154534,0,142669,177315,5887,302.0483704,44619,71,75.02,74.83,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,636.782083254404,6,19,0,1090,85,9024,21116,6173,45558,0,19,138.68792,273.1508247,3172,3243,185976,220777,0,202001,238340,10114,134.4629047,19387,41,18.03,18.53,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,453.540441172795,8,37,0,247,1,5274,40007,9873,33774,58,138,57.4524,238.9003243,4799,4904,96228,113324,0,120066,139392,5521,181.4479243,35708,37,5.45,9.25,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,336.706750473661,6,482,0,648,14,5268,164147,54054,58623,76,155,87.40211,640.0961397,25643,26342,150001,177452,0,171135,212075,5916,552.6940297,145135,20,31.07,30.53,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,320.468121683959,7,122,0,1093,0,4759,144374,45285,62112,98,203,59.81218,522.484826,18862,19267,133770,158360,0,178854,230101,5852,462.672646,124402,52,37.05,61.69,100,NA
2025-2026,May,29,TAMIL NADU,2911,COIMBATORE,146272,600.429373794953,8,4,24.9491597,1068,10,4517,11929,3544,28775,242,1733,66.8156,163.3899797,1418,1460,74408,83141,0,109565,122436,5585,71.62522,10425,60,28.48,20.38,100,NA
2025-2026,May,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,364.587421547744,6,268,0,2621,7,5181,98117,20026,82833,1425,5095,79.10731,436.8295504,15860,16285,301979,373837,0,321472,399746,7802,357.7222404,84648,47,22.06,24.92,100,NA
2025-2026,May,29,TAMIL NADU,2919,PUDUKKOTTAI,534209,304.606466487606,5,196,0,1355,53,7793,146319,24979,82110,6,3,122.04216,567.7392957,25877,26781,293427,424136,0,332472,474708,9148,445.6971357,131719,37,12.46,27.37,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,623.526910171358,6,186,0,2437,11,13218,78082,18261,82675,102,358,68.88469,555.746972,12162,12613,281086,340348,0,313978,375592,15655,486.862282,67096,78,38.33,35.5,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,303.49079138482,9,27,0,234,6,2034,24097,1841,4101,70,225,40.983,114.115176,2596,2717,38177,47303,0,77069,94788,2268,73.132176,19468,56,33.63,33.93,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,312.967458642223,7,119,0,973,0,4866,136915,41868,62110,98,203,59.81218,488.311576,18148,18537,133763,158350,0,178839,230081,5839,428.499396,117778,52,38.4,62.69,100,NA
2025-2026,May,29,TAMIL NADU,2934,Ranipet,622263,451.681815191802,6,89,0,1269,1,4296,57768,15523,54488,1622,2258,61.28222,322.209771,8706,9030,157673,218442,0,182693,247773,5565,260.927551,51356,50,10.18,12.01,100,NA
2025-2026,May,29,TAMIL NADU,2901,KANCHIPURAM,318323,320.889170325821,6,207,0.2901288,1299,0,2675,117058,44557,56958,2476,2521,65.11772,441.0342938,18976,19234,128174,156309,0,141003,177102,3974,375.626445,104462,45,25.34,40.13,100,NA
2025-2026,May,29,TAMIL NADU,2904,VILLUPURAM,1166138,417.43255474668,8,160,3.9974,1665,0,9360,101650,33814,176313,2276,6857,171.58596,599.9035519,11642,12939,427894,597820,0,458237,640326,11025,424.3201919,81286,43,14.81,5.48,100,NA
2025-2026,May,29,TAMIL NADU,2905,VELLORE,366795,492.657619108396,7,76,0,1026,8,7499,54845,15033,37785,3438,4618,49.69834,319.8964112,7534,7781,132469,155040,0,146345,185373,8525,270.1980712,47190,67,18.44,19.23,100,NA
2025-2026,May,29,TAMIL NADU,2908,NAMAKKAL,405009,267.883137873385,6,308,0.04995,904,5,5092,121423,29497,63385,10041,20755,90.03715,415.3588425,17603,17987,181245,226377,0,220348,276375,5996,325.2717425,108011,42,26.56,38.97,100,NA
2025-2026,May,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,385.569288426549,6,285,0,2669,5,5269,101128,20767,82834,1425,5095,84.71954,474.63805,16354,16789,301982,373844,0,321493,399776,7938,389.91851,87339,47,21.11,24.07,100,NA
2025-2026,May,29,TAMIL NADU,2918,PERAMBALUR,303983,324.910981043052,6,216,3.5266271,318,0,2091,107243,34504,55046,230,494,32.19221,384.1631205,15935,17347,122641,174621,0,142900,197798,2409,348.4442834,89888,50,36.71,34.87,100,NA
2025-2026,May,29,TAMIL NADU,2923,RAMANATHAPURAM,915564,304.920909312428,7,1201,0,1190,48,9456,119013,24669,62583,24,23,98.19498,461.0905018,16864,17529,197664,243711,0,223117,271543,10646,362.8955218,101198,60,18.34,23.7,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,306.604930061084,8,35,0,237,6,2044,27667,2096,4101,70,225,40.983,125.811386,3137,3259,38193,47326,0,77097,94835,2281,84.828386,22523,56,36.52,36.8,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,320.817471668593,7,122,0,1245,0,4727,144451,45295,62120,98,203,59.81218,523.236226,18862,19267,133795,158395,0,178892,230147,5972,463.424046,124459,52,39.77,61.51,100,NA
2025-2026,May,29,TAMIL NADU,2908,NAMAKKAL,405009,257.489137173323,6,173,0.04995,777,8,5097,72587,16823,63369,6883,20754,90.03715,276.99074,11374,11615,181218,226328,0,220255,276256,5874,186.90364,64883,43,26.75,36.48,100,NA
2025-2026,May,29,TAMIL NADU,2913,THANJAVUR,562860,359.679278264992,6,55,0,2076,104,7709,33752,7056,116652,86,118,127.23956,248.63851,4841,5152,271607,365653,0,297443,394263,9785,121.39895,28477,37,24.64,6.43,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,674.355983671362,5,168,0,2176,19,13472,61977,13958,82660,26,358,68.88469,486.830298,10532,10924,281069,340289,0,313807,375360,15648,417.945608,53084,78,44.15,40.36,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,330.428674339529,5,373,0,539,18,5343,112344,36539,58613,45,155,87.40211,458.6188999,19256,19737,149959,177390,0,171071,211990,5882,371.2167899,99012,19,30.42,29.3,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,308.98399480013,10,15,0,206,11,2056,15385,1165,4099,60,225,40.73306,88.2702476,1499,1607,38169,47267,0,76970,94601,2262,47.5371876,12129,56,28.08,28.47,100,NA
2025-2026,May,29,TAMIL NADU,2901,KANCHIPURAM,318323,311.485090670223,6,247,0.2901288,1301,0,2853,150711,57797,56986,3309,2524,65.11772,534.8501438,22719,23029,128216,156371,0,141193,177362,4154,469.442295,134099,46,27.97,43.01,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,301.125742625614,7,671,0,1884,2,11980,377862,125375,252136,3390,3442,149.32593,1287.1656836,47599,52332,418554,675271,0,469310,736971,13864,1137.8397536,301601,42,24.83,25.8,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,449.8659094482,6,56,0,1174,66,9033,38166,10808,45564,0,19,138.68792,310.383743,6101,6232,185988,220788,0,202022,238364,10207,171.695823,34773,42,18.2,18.78,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,322.083597079373,6,565,0,656,14,5284,212831,70583,58690,98,155,87.40211,772.8958505,30804,31686,150067,177611,0,171400,212531,5940,685.4937405,187968,20,33.05,32.69,100,NA
2025-2026,May,29,TAMIL NADU,2931,ARIYALUR,401779,736.147045936586,8,32,0,1864,20,2924,37247,8206,56471,965,3022,44.05282,318.2455102,4214,4816,179795,254638,0,192044,268249,4788,274.1926902,28761,51,9.74,6.49,100,NA
2025-2026,May,29,TAMIL NADU,2933,CHENGALPATTU,407131,417.671321030583,8,369,0,2601,0,5239,157309,70578,103551,4368,4258,71.93118,728.9657584,18280,18795,194817,238707,0,218980,278322,7840,657.0345784,137352,51,12.07,16.6,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,313.506540164453,7,766,0,2104,3,12068,420546,140892,252163,3516,3449,149.32593,1467.7651444,52673,57814,418599,675369,0,469346,737059,14172,1318.4392144,336455,42,25.65,26.96,100,NA
2025-2026,May,29,TAMIL NADU,2905,VELLORE,366795,554.153728634947,8,90,0,1041,5,7522,69272,18524,37785,4460,4619,49.69834,433.5717109,8553,8836,132478,155052,0,146374,185409,8563,383.8733709,59692,66,17.29,18.84,100,NA
2025-2026,May,29,TAMIL NADU,2913,THANJAVUR,562860,406.896407125365,8,71,0,2312,47,7678,59618,13154,116661,131,118,129.76149,372.34499,7134,7656,271633,365693,0,297593,394437,9990,242.5835,50127,39,20.71,7.5,100,NA
2025-2026,May,29,TAMIL NADU,2919,PUDUKKOTTAI,534209,303.531596467884,6,297,0,2139,22,8064,262279,42697,82121,6,3,122.41406,918.513695900001,40450,41976,293493,424215,0,332499,474743,10203,796.099635900001,236702,41,12.25,33.9,100,NA
2025-2026,May,29,TAMIL NADU,2920,MADURAI,907203,719.309442595783,7,173,0,2892,21,10471,76031,15270,66778,454,659,109.73486,656.6330223,10816,11129,271825,319725,0,299537,360272,13363,546.8981623,68135,60,12.38,8.24,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,308.964072665786,7,615,0,663,13,5355,237746,77491,58712,105,155,87.40211,821.9518342,33146,34125,150093,177690,0,171548,212797,6018,734.5497242,210315,20,33.13,32.79,100,NA
2025-2026,May,29,TAMIL NADU,2901,KANCHIPURAM,318323,312.957064540841,6,217,0.2901288,1300,0,2745,125316,47925,56979,2577,2523,65.11772,457.5931238,20030,20300,128196,156353,0,141157,177329,4045,392.185275,111693,45,26.12,40.65,100,NA
2025-2026,May,29,TAMIL NADU,2902,TIRUVALLUR,972020,215.580775142074,6,579,0,1667,2,11007,350697,111361,117974,17552,8615,117.81956,873.854870999999,54831,55609,264724,310761,0,309556,376051,12674,756.035310999999,318695,41,27.2,27.32,100,NA
2025-2026,May,29,TAMIL NADU,2904,VILLUPURAM,1166138,401.727606860549,8,166,3.9974,1733,0,9335,108038,36173,176325,2534,6857,171.58596,609.6018319,12027,13357,427898,597825,0,458257,640349,11068,434.0184719,86496,43,14.72,5.64,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,305.900922234783,8,46,0,242,6,2041,33614,2555,4103,82,225,40.983,143.808536,3823,3957,38205,47362,0,77159,94954,2283,102.825536,27527,56,39.74,39.99,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,291.813072153979,8,146,0,1327,0,4825,189844,62007,62162,128,203,59.81218,613.801788699999,22607,23107,133881,158505,0,178910,230179,6152,553.9896087,164019,53,41.3,64.59,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,359.619346882621,8,194,0,1799,1,5419,79955,17993,45908,782,2957,65.5007,353.0343488,9001,9191,140154,163221,0,192122,224788,7218,287.5336488,67717,63,34.01,34.48,100,NA
2025-2026,May,29,TAMIL NADU,2924,VIRUDHUNAGAR,883393,291.590041284041,7,406,0,570,18,3448,139279,44958,75682,25,118,79.45075,485.574443599999,17798,18452,215681,264624,0,247299,299103,4018,406.123693599999,118467,36,10.99,28.77,100,NA
2025-2026,May,29,TAMIL NADU,2937,KALLAKURICHI,511379,368.498480740179,9,267,9.79389,2120,2,9916,281986,84775,162124,11785,20492,86.42036,1135.3283759,29897,35526,295572,512393,0,315846,537205,12036,1039.1141259,205909,38,27.51,19.66,100.01,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,390.433282486036,8,179,0,1759,1,5411,70538,15427,45899,730,2952,65.5007,340.9045288,8035,8196,140128,163170,0,192060,224699,7170,275.4038288,59809,63,32.8,33.22,100,NA
2025-2026,May,29,TAMIL NADU,2923,RAMANATHAPURAM,915564,294.573690387785,7,1335,0,1281,23,10306,165633,35441,62602,29,23,98.19498,586.1062206,21649,22520,197773,243841,0,223157,271599,11587,487.9112406,141271,62,19.31,24.24,100,NA
2025-2026,May,29,TAMIL NADU,2938,MAYILADUTHURAI,265639,338.632089171828,6,85,0,490,0,5346,86709,35923,106462,24,275,45.44548,339.0699782,12760,14819,153086,233342,0,161788,243149,5836,293.6244982,67744,46,24.52,22.12,100,NA
2025-2026,May,29,TAMIL NADU,2904,VILLUPURAM,1166138,389.106888001849,9,174,3.9974,1761,0,9310,112484,37332,176325,2647,6857,171.58596,613.2663519,12463,13807,427896,597826,0,458265,640361,11071,437.6829919,90024,43,14.37,5.57,100,NA
2025-2026,May,29,TAMIL NADU,2905,VELLORE,366795,509.601135942055,7,77,0,1026,5,7516,56605,15212,37785,3465,4618,49.69834,338.158063,7627,7879,132470,155043,0,146349,185379,8542,288.459723,48709,67,18.2,19.07,100,NA
2025-2026,May,29,TAMIL NADU,2908,NAMAKKAL,405009,258.503686607341,7,380,0.04995,967,4,5074,153054,37382,63389,13957,20757,91.03192,486.7321025,21245,21718,181256,226395,0,220380,276420,6041,395.6502325,136091,42,28.37,42.31,100,NA
2025-2026,May,29,TAMIL NADU,2911,COIMBATORE,146272,579.576007583965,8,8,24.9491597,1212,7,4433,14768,4409,28771,365,1732,66.8156,177.3565445,1668,1714,74405,83134,0,109585,122456,5645,85.5917848,13012,60,31.4,21.21,100,NA
2025-2026,May,29,TAMIL NADU,2912,THE NILGIRIS,136005,357.423298614622,10,15,0,622,1,1800,19778,6632,11468,2323,3487,28.13095,98.82213,1818,1959,30449,38839,0,55758,68178,2422,70.69118,14843,84,16.1,12.46,100,NA
2025-2026,May,29,TAMIL NADU,2921,THENI,249225,570.805561301615,7,69,0,609,2,2441,37707,8124,24762,352,169,41.00493,256.238583,4737,4885,83497,101559,0,114357,135524,3050,215.233653,31929,36,42.61,47.78,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,507.720821356492,7,39,0,1171,71,9018,32702,9722,45564,0,19,138.68792,304.722783,4638,4755,185988,220793,0,202018,238366,10189,166.034863,29811,41,17.67,18.29,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,402.945698036486,8,46,0,295,1,5521,54596,12863,33779,74,139,57.4524,277.4446333,6089,6234,96315,113426,0,120076,139403,5816,219.9922333,48560,39,6.22,10.88,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,322.63992302202,6,557,0,655,14,5280,208761,69471,58688,98,155,87.40211,760.9484397,30299,31176,150065,177607,0,171386,212516,5935,673.5463297,184326,20,33.42,32.18,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,305.935803643063,8,46,0,242,6,2041,33653,2555,4103,82,225,40.983,143.939576,3823,3957,38206,47365,0,77166,94979,2283,102.956576,27554,56,39.71,39.96,100,NA
2025-2026,May,29,TAMIL NADU,2931,ARIYALUR,401779,830.08647841999,8,28,0,1864,21,2921,31696,7321,56471,779,3022,44.05282,307.1570302,3677,4187,179795,254638,0,192044,268249,4785,263.1042102,24490,51,9.05,5.73,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,303.199138961808,8,147,0,1367,0,4784,190851,62367,62159,128,203,59.81218,638.4707687,22751,23253,133879,158503,0,178914,230183,6151,578.6585887,164915,53,41.24,64.75,100,NA
2025-2026,May,29,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,187.911574038015,6,5645,0,2855,7,9636,693306,171592,149664,16244,27626,208.20292,1511.0051375,107935,111572,512147,655720,0,540520,686322,12491,1302.8022175,577627,41,30.19,28.54,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,377.35544512087,8,201,0,1861,1,5360,84595,19419,45907,812,2957,65.5007,384.7245388,9419,9610,140156,163226,0,192132,224804,7221,319.2238388,71904,63,32.1,33.27,100,NA
2025-2026,May,29,TAMIL NADU,2914,NAGAPATTINAM,231137,488.641749606544,8,27,0,2624,1,2997,45113,19013,82652,72,249,48.20696,268.6479125,5156,6098,106515,164453,0,119564,179981,5621,220.4409525,34573,68,9.71,2.83,100,NA
2025-2026,May,29,TAMIL NADU,2919,PUDUKKOTTAI,534209,267.947703866382,6,375,0,2186,18,8204,346060,55745,82126,6,3,122.41406,1049.673884,49843,51805,293520,424247,0,332510,474753,10390,927.259824000001,312495,42,12.49,38.85,100,NA
