fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,29,TAMIL NADU,2934,Ranipet,1162345,297.261170883432,8,1007,0,2426,0,5822,694134,182353,54612,10513,2299,113.51068,2176.9015359,80026,83203,158207,219065,0,182921,248028,8248,2063.3908559,626781,57,39.78,45.83,100,NA
2025-2026,July,29,TAMIL NADU,2908,NAMAKKAL,810321,260.770101263932,10,1617,0.04995,1755,4,6018,763253,208119,63535,57510,20791,172.05446,2162.440031,71552,73828,181814,227062,0,220645,276744,7773,1990.335621,676720,41,42.84,64.86,100,NA
2025-2026,July,29,TAMIL NADU,2911,COIMBATORE,281445,400.065380357856,9,21,48.3518675,2175,2,3955,55106,17585,28845,2325,1749,116.46267,385.274566,6028,6104,74544,83343,0,109789,122778,6130,220.4600285,49002,59,32.67,26.16,100,NA
2025-2026,July,29,TAMIL NADU,2912,THE NILGIRIS,201936,348.124633501423,13,67,0,991,0,2282,69209,23127,11668,10702,3672,39.77049,280.7040676,4994,5403,30979,39534,0,56161,68689,3273,240.9335776,52697,85,17.2,13.53,100,NA
2025-2026,July,29,TAMIL NADU,2934,Ranipet,1162345,309.637418344569,8,1037,0,2500,0,5878,713639,186921,54619,11045,2303,113.51068,2323.2040559,81665,84968,158226,219102,0,182938,248063,8378,2209.6933759,644520,57,39.83,45.9,100,NA
2025-2026,July,29,TAMIL NADU,2937,KALLAKURICHI,1080995,290.652993253617,11,1177,9.79389,4911,0,10217,1139870,349138,161639,54138,20654,157.27944,3480.1396042,100759,120281,295858,511867,12,315846,536264,15128,3313.0662742,836509,47,34.38,32.1,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,300.687688232265,9,681,0.2901288,1592,0,4724,499051,191529,57199,8640,2531,65.11772,1565.9927638,51778,52907,128606,156904,0,141632,177999,6316,1500.584915,437592,61,39.49,54.34,100,NA
2025-2026,June,29,TAMIL NADU,2912,THE NILGIRIS,176255,322.391535547831,13,62,0,985,0,2256,64153,21581,11657,10022,3668,28.13095,234.9547918,4611,5006,30959,39510,0,56158,68685,3241,206.8238418,48977,85,17.26,12.85,100,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,346.760127466449,8,508,0,357,0,5946,225628,54917,36356,24,25,43.13854,825.5264804,27296,28155,123857,154644,0,142722,177397,6303,782.3879404,195872,69,54.47,75.94,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,250.6338142989,10,2356,0.00679,2017,2,12185,632748,141729,62685,56,23,98.26998,1684.1572173,59363,62801,198177,244319,0,223212,271690,14202,1585.8804473,547397,65,29.01,34.1,100,NA
